COMPOSITOR,QUANTIDADE_DO,QUANTIDADE_DO_SUST,QUANTIDADE_RE,QUANTIDADE_RE_SUST,QUANTIDADE_MI,QUANTIDADE_FA,QUANTIDADE_FA_SUST,QUANTIDADE_SOL,QUANTIDADE_SOL_SUST,QUANTIDADE_LA,QUANTIDADE_LA_SUST,QUANTIDADE_SI,MEDIA_INTERVALOS,MEDIA_CONTORNO,2_NOTAS_SEGUIDAS,3_NOTAS_SEGUIDAS,MEDIA_DURACAO_NOTAS,MEDIA_DURACAO_PAUSAS,INT_HARM_1,INT_HARM_2,INT_HARM_3,INT_HARM_4,INT_HARM_5,INT_HARM_6,INT_HARM_7,INT_HARM_8,INT_HARM_9,INT_HARM_10,INT_HARM_11,INT_HARM_12,NOTA_DURACAO_<0.5,NOTA_DURACAO_0.5-1,NOTA_DURACAO_1-2,NOTA_DURACAO_2-4,NOTA_DURACAO_>4,PAUSA_DURACAO_<0.5,PAUSA_DURACAO_0.5-1,PAUSA_DURACAO_1-2,PAUSA_DURACAO_2-4,PAUSA_DURACAO_>4
Isaac Albéniz,42,57,52,187,36,48,11,151,143,44,246,50,0.0253399258343634,0.1050679851668726,32,0,0.720403541280626,0.6317626527050612,16,98,130,383,222,268,175,203,296,181,49,903,53,1227,287,52,0,21,147,12,11,0
Isaac Albéniz,70,81,255,72,20,59,56,134,12,104,120,10,0.0196610169491525,0.0752542372881355,74,0,0.7466124661246614,1.079310344827586,7,136,499,414,450,293,464,431,399,194,121,588,594,446,380,55,1,25,36,81,3,0
Isaac Albéniz,35,88,16,115,50,19,47,4,134,46,14,41,0.0128928283642224,0.0523771152296535,48,11,0.5420692431561999,0.424812030075188,100,157,208,351,201,231,247,222,232,174,78,693,567,498,107,70,0,253,119,15,12,0
Isaac Albéniz,112,25,40,15,41,122,12,69,38,45,49,5,-0.0298363811357074,0.0086621751684311,128,48,0.4826923076923076,0.4859038142620235,11,209,311,563,321,183,341,497,440,215,28,735,531,351,158,0,0,85,90,26,0,0
Isaac Albéniz,52,7,62,82,5,38,12,44,25,24,175,21,0.0563961485557083,0.0192572214580467,45,11,0.8926282051282052,0.7529761904761906,15,21,236,129,98,86,294,114,146,91,8,98,11,407,195,113,2,8,32,11,5,0
Isaac Albéniz,19,159,26,33,33,30,88,54,71,26,28,31,0.0072639225181598,0.0282485875706214,56,1,0.4361559139784947,0.4147421093148575,15,143,225,278,220,197,174,205,253,110,15,448,732,345,153,10,0,484,347,22,13,0
Isaac Albéniz,62,8,77,60,84,0,157,91,0,84,0,143,0.0,0.0071574642126789,27,0,0.4025366019748037,0.3361441798941804,20,87,44,156,110,59,76,153,90,64,16,184,770,113,86,10,0,411,66,18,9,0
Isaac Albéniz,182,30,116,20,157,117,35,123,48,99,34,50,-0.0119225037257824,-0.0347739692001987,153,20,0.3235683548493875,0.3575339465615418,83,321,427,413,397,226,437,335,312,236,74,574,1618,338,58,0,0,545,184,32,0,0
Isaac Albéniz,122,11,337,103,65,151,36,244,73,101,87,77,-0.0139860139860139,0.0154845154845154,119,60,0.5016641704110512,0.5149447693307346,89,154,581,663,846,277,873,491,606,213,74,1224,1173,545,173,112,0,220,255,27,11,0
Isaac Albéniz,42,61,66,2,100,44,0,42,2,141,70,4,0.0066115702479338,-0.0214876033057851,4,0,0.5750825082508246,0.3484042553191493,4,30,8,55,34,18,34,45,66,22,4,13,184,318,94,10,0,172,10,4,2,0
Isaac Albéniz,147,28,547,164,1,66,28,80,8,144,121,2,-0.0122950819672131,0.0112704918032786,148,59,0.4596774193548387,0.2785409035409035,10,21,154,86,93,31,129,64,80,14,14,506,1559,181,89,124,0,1556,21,52,9,0
Isaac Albéniz,93,38,251,72,26,57,36,60,16,46,82,53,-0.0072859744990892,0.0027322404371584,35,5,0.6753867151956331,0.4349415204678363,50,71,249,254,194,127,198,220,268,135,48,250,345,486,163,105,0,250,44,38,10,0
